Station Name,Station Code,State,Railway Zone
Chhatrapati Shivaji Maharaj Terminus,CSMT,Maharashtra,Central Railway (CR)
New Delhi,NDLS,Delhi,Northern Railway (NR)
Howrah Junction,HWH,West Bengal,Eastern Railway (ER)
Chennai Central,MAS,Tamil Nadu,Southern Railway (SR)
Mumbai Central,MMCT,Maharashtra,Western Railway (WR)
Kolkata Shalimar,SHM,West Bengal,South Eastern Railway (SER)
Secunderabad Junction,SC,Telangana,South Central Railway (SCR)
Bengaluru City (KSR Bengaluru),SBC,Karnataka,South Western Railway (SWR)
Ahmedabad Junction,ADI,Gujarat,Western Railway (WR)
Patna Junction,PNBE,Bihar,East Central Railway (ECR)
Guwahati,GHY,Assam,Northeast Frontier Railway (NFR)
Bhubaneswar,BBS,Odisha,East Coast Railway (ECOR)
Jaipur Junction,JP,Rajasthan,North Western Railway (NWR)
Prayagraj Junction,PRYJ,Uttar Pradesh,North Central Railway (NCR)
Gorakhpur Junction,GKP,Uttar Pradesh,North Eastern Railway (NER)
Jabalpur Junction,JBP,Madhya Pradesh,West Central Railway (WCR)
Bilaspur Junction,BSP,Chhattisgarh,South East Central Railway (SECR)
Hajipur Junction,HJP,Bihar,East Central Railway (ECR)
Visakhapatnam Junction,VSKP,Andhra Pradesh,East Coast Railway (ECOR)
Lucknow Charbagh,LKO,Uttar Pradesh,Northern Railway (NR)
Pune Junction,PUNE,Maharashtra,Central Railway (CR)
Nagpur Junction,NGP,Maharashtra,Central Railway (CR)
Thiruvananthapuram Central,TVC,Kerala,Southern Railway (SR)
Ernakulam Junction,ERS,Kerala,Southern Railway (SR)
Amritsar Junction,ASR,Punjab,Northern Railway (NR)
Chandigarh,CDG,Chandigarh,Northern Railway (NR)
Dehradun,DDN,Uttarakhand,Northern Railway (NR)
Jammu Tawi,JAT,Jammu and Kashmir,Northern Railway (NR)
Shimla,SML,Himachal Pradesh,Northern Railway (NR)
Ranchi Junction,RNC,Jharkhand,South Eastern Railway (SER)
Raipur Junction,R,Chhattisgarh,South East Central Railway (SECR)
Bhopal Junction,BPL,Madhya Pradesh,West Central Railway (WCR)
Vadodara Junction,BRC,Gujarat,Western Railway (WR)
Surat,ST,Gujarat,Western Railway (WR)
Gwalior Junction,GWL,Madhya Pradesh,North Central Railway (NCR)
Agra Cantt.,AGC,Uttar Pradesh,North Central Railway (NCR)
Kanpur Central,CNB,Uttar Pradesh,North Central Railway (NCR)
Varanasi Junction,BSB,Uttar Pradesh,Northern Railway (NR)
Puri,PURI,Odisha,East Coast Railway (ECOR)
Cuttack Junction,CTC,Odisha,East Coast Railway (ECOR)
Tirupati,TPTY,Andhra Pradesh,South Central Railway (SCR)
Vijayawada Junction,BZA,Andhra Pradesh,South Central Railway (SCR)
Hubballi Junction (UBL),UBL,Karnataka,South Western Railway (SWR)
Mysuru Junction,MYS,Karnataka,South Western Railway (SWR)
Madurai Junction,MDU,Tamil Nadu,Southern Railway (SR)
Coimbatore Junction,CBE,Tamil Nadu,Southern Railway (SR)
Mangaluru Central,MAQ,Karnataka,Southern Railway (SR)
Gaya Junction,GAYA,Bihar,East Central Railway (ECR)
Muzaffarpur Junction,MFP,Bihar,East Central Railway (ECR)
Siliguri Junction,SGUJ,West Bengal,Northeast Frontier Railway (NFR)
